X,Y
-9.8,2.2
-7.8,0.2
-7.8,1.8
-5.8,2.6
-4.6,1.0
-13.4,0.2
-11.0,3.4
-6.2,-5.0
-3.8,-0.2
-1.8,3.8
-9.0,3.8
-3.8,3.4
-5.8,0.2
-3.0,-0.2
-6.6,-0.2
-3.8,1.4
-11.4,-1.0
-5.8,3.4
-17.8,-1.0
-12.2,4.2
-13.0,-1.0
-9.0,2.6
-8.2,0.2
-11.0,2.6
-12.6,-3.8
-12.2,-2.6
-13.8,-6.2
-15.4,-5.4
-11.8,-6.2
-13.4,-5.4
-12.6,-5.4
-11.4,-5.8
-12.6,-3.0
-14.2,-4.6
-12.6,-2.6
-14.2,-3.4
-11.8,-5.4
-13.4,-3.0
-14.6,-3.0
-11.0,-2.6
-10.2,-3.8
-9.4,-2.6
-8.6,-2.2
-7.4,-3.4
-7.4,-2.2
-5.4,-1.4
-5.0,-1.4
-3.4,-0.2
-2.6,-0.2
-2.6,0.2
-1.4,1.4
-1.0,3.0
-1.8,-1.8
-1.0,0.6
-1.0,0.2
-0.2,0.2
-0.6,-0.2
-1.0,-1.0
-0.2,-0.2
-0.2,-0.2
-0.2,0.6
-0.2,-0.2
-0.2,0.2
-0.2,1.0
-0.2,1.0
-0.6,-0.2
-0.2,0.6
-0.2,-0.2
-0.6,-0.2
-1.0,-0.6
-0.6,-0.6
-0.6,-0.2
0.2,-2.2
1.4,1.8
-0.2,1.0
-0.2,-0.6
0.2,-0.2
-0.2,-0.2
-0.2,-0.2
0.2,0.2
-0.2,0.2
0.2,0.6
-0.2,0.2
0.2,0.6
0.2,0.6
-0.2,1.0
-0.2,0.6
-0.2,0.2
-0.2,-0.2
0.2,-0.2
-0.2,-0.2
-0.2,0.2
-0.2,-0.2
-0.2,0.2
-0.2,-0.2
-0.2,-0.2
-0.2,0.6
-0.2,-0.2
-0.6,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
-0.2,-0.2
0.0,0.0
0.0,4.5
1.5,17.5
5.5,44.0
-7.0,20.0
-4.0,16.5
0.0,-7.0
-3.0,-8.0
-2.0,2.0
-0.5,4.0
-0.5,4.0
0.0,2.0
0.0,1.5
0.0,0.0
0.0,-0.5
0.0,-1.5
0.0,-1.5
0.0,-0.5
0.0,-0.5
0.0,-1.5
0.0,-0.5
-0.5,-1.5
0.0,-1.5
0.0,-1.5
0.0,-1.5
0.0,-1.5
