Accel X,Accel Y
-3.237152,2.039383
-3.3475952,1.9981384
-3.4891052,1.9426117
-3.6089478,1.8786316
-3.6894379,1.8382721
-3.6641693,1.8493958
-3.6223297,1.9338837
-3.546753,2.096161
-3.4355774,2.3521576
-3.3913116,2.372589
-3.4382782,2.2853851
-3.4578552,2.2806091
-3.3836212,2.4383545
-3.2906342,2.6557312
-3.239853,2.845398
-3.2397919,2.9328156
-3.342392,2.8891602
-3.560379,2.6786346
-3.917511,2.3837433
-4.1867065,2.0379944
-4.3672028,1.7278595
-4.4680634,1.5112
-4.4972534,1.420105
-4.5158386,1.4586029
-4.5228424,1.6162872
-4.495178,1.8650513
-4.4188538,2.1603546
-4.3960114,2.4329224
-4.407242,2.6496124
-4.409897,2.8355255
-4.3592224,3.0016327
-4.2457733,3.0877533
-4.1110687,3.1066437
-4.0014954,3.0779877
-3.91362,3.0736847
-3.8206482,3.0947113
-3.7300568,3.1566925
-3.621399,3.2202148
-3.5406952,3.282364
-3.4747467,3.315979
-3.4162292,3.2767487
-3.354782,3.1580658
-3.2949677,2.9743042
-3.2986603,2.723755
-3.3212738,2.4326324
-3.3491974,2.1534576
-3.381897,1.9288177
-3.3911743,1.7961731
-3.395172,1.7731018
-3.372467,1.884201
-3.3058472,2.0559998
-3.2232513,2.290985
-3.1301575,2.5359344
-3.0232391,2.803238
-2.934433,3.069687
-2.8510895,3.3466187
-2.78331,3.5825195
-2.7511444,3.7368622
-2.741562,3.8390198
-2.7677917,3.8309479
-2.8777008,3.6634827
-2.9562073,3.4465027
-3.0118408,3.2683868
-3.0345306,3.1496582
-2.9990234,3.1095886
-2.9575348,3.114212
-2.963211,3.1234436
-3.015396,3.0718842
-3.046875,2.965149
-3.0503998,2.8406677
-3.0582733,2.714981
-3.0811462,2.628067
-3.1271057,2.5539856
-3.1571503,2.4938812
-3.147461,2.4757996
-3.0883484,2.4526062
-3.0235443,2.479538
-2.952835,2.5112915
-2.918213,2.5580902
-2.9289246,2.6058502
-2.9568634,2.6354218
-3.004837,2.6263733
-3.0523071,2.6171112
-3.1137085,2.595642
-3.2175446,2.529892
-3.3625793,2.486679
-3.4965363,2.459961
-3.5894928,2.427185
-3.641571,2.4244385
-3.6338806,2.4428864
-3.57312,2.4487915
-3.4690247,2.434433
-3.3799744,2.4409943
-3.3289185,2.4594574
-3.3460236,2.4640045
-3.3783112,2.501068
-3.401123,2.5656128
-3.441803,2.6433258
-3.491272,2.7479095
-3.5029144,2.8851318
-3.4865112,3.0319061
-3.4498138,3.1931152
-3.344345,3.3327026
-3.201477,3.4613037
-3.0662994,3.5702362
-2.9929504,3.6615143
-3.0073242,3.727295
-3.0779266,3.7304077
-3.1780853,3.7029572
-3.2675781,3.64917
-3.3369293,3.5890808
-3.3857422,3.5427856
-3.4233398,3.5366669
-3.471756,3.5627441
-3.548172,3.6055908
-3.6106567,3.666687
-3.5968018,3.7334595
-3.5359955,3.8647614
-3.413742,4.0587006
-3.2286377,4.28125
-2.987671,4.4289093
-2.7258606,4.5409393
-2.6015015,4.5802307
-2.576355,4.55278
-2.596405,4.5217133
-2.6407166,4.5245056
-2.7001343,4.56131
-2.7940826,4.5860596
